Hamburger, Hamburger
Vorname, First Name
Familienname, Last Name
Umlaut, Umlaut
Computer, Computer
Stift, Pen
Unterricht, Classes
Mann, Man
Artikel, Article
Text, Text
Satz, Sentence
Wohnort, Abode
Kollege, Colleage
Freund, Friend
Bruder, Brother
Punkt, Dot (.)
Unterstrich, Underscore (_)
Familienstand, Marital Status
Vater, Father
Sohn, Son
Opa, Grandpa
Kaffee, Coffee
Tee, Tea
Zucker, Sugar
Orangensaft, Orange Juice
Keks, Cookie
Kuchen, Cake
Gast, Guest
Kellner, Waiter
Euro, Euro
Cent, Cent
Preis, Price
Kellner, Basement
L̦ffel, Spoon
Stuhl, Chair